views,favorite,post_info,price,car_name,year,A_C,emission_class,seats_amount,horsepower,color,"car_mileage, km","engine_capacity, cc",type_of_drive,doors,fuel,car_type,gearbox
58,0,posted a week ago,1100,Alfa Romeo 11.9,2002,,,,,,,,,,,,
55,0,posted 2 days ago,1100,Alfa Romeo 145,2000,manual A/C,Euro 3,5,106 HP (78 kW),gray,158546,1400,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
136,4,posted 2 weeks ago,950,Alfa Romeo 145,1999,manual A/C,Euro 3,5,105 HP (77 kW),green,337000,1910,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
209,1,posted 4 weeks ago,500,Alfa Romeo 146,2000,manual A/C,Euro 3,5,120 HP (88 kW),gray,200000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
61,0,posted 2 days ago,111,Alfa Romeo 147,2024,automatic A/C,,5,116 HP (85 kW),gray,280000,1900,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
196,2,posted 4 weeks ago,2300,Alfa Romeo 147,2008,no A/C,,5,105 HP (77 kW),black,188000,1600,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
133,1,updated 5 days ago,3500,Alfa Romeo 147,2008,automatic A/C,Euro 4,5,170 HP (125 kW),black,255000,1929,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
290,6,updated 6 days ago,2150,Alfa Romeo 147,2008,manual A/C,Euro 4,5,90 HP (66 kW),black,214000,1600,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
2629,16,updated a week ago,1350,Alfa Romeo 147,2008,automatic A/C,Euro 4,5,120 HP (88 kW),white,315000,1910,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
89,0,posted a week ago,2000,Alfa Romeo 147,2007,no A/C,Euro 4,5,105 HP (77 kW),black,176853,1597,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
64,0,posted a week ago,2500,Alfa Romeo 147,2007,no A/C,,5,105 HP (77 kW),red,228650,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
1265,17,updated a week ago,900,Alfa Romeo 147,2007,automatic A/C,Euro 5,5,120 HP (88 kW),black,280000,1600,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
117,2,posted 3 weeks ago,2250,Alfa Romeo 147,2007,automatic A/C,Euro 4,5,120 HP (88 kW),brown,247000,1600,front,4/5 doors,petrol + gas,hatchback,"manual, 5 speeds"
104,4,posted a week ago,1950,Alfa Romeo 147,2006,manual A/C,Euro 3,5,105 HP (77 kW),gray,158600,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
736,16,posted 2 weeks ago,700,Alfa Romeo 147,2006,manual A/C,Euro 3,5,120 HP (88 kW),black,299610,1600,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
42,0,posted 2 days ago,1000,Alfa Romeo 147,2005,no A/C,,5,120 HP (88 kW),gray,123456,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
422,4,updated a week ago,3999,Alfa Romeo 147,2005,automatic A/C,Euro 3,4,150 HP (110 kW),black,250750,1910,front,2/3 doors,diesel,hatchback,"manual, 6 speeds"
178,4,posted 4 weeks ago,2000,Alfa Romeo 147,2004,no A/C,,5,141 HP (104 kW),red,318000,1900,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
90,1,posted a week ago,1800,Alfa Romeo 147,2004,manual A/C,Euro 4,5,109 HP (80 kW),silver,220000,1900,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
180,2,posted 6 days ago,1000,Alfa Romeo 147,2004,manual A/C,,5,116 HP (85 kW),gray,350000,1910,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
202,6,posted 4 weeks ago,1599,Alfa Romeo 147,2004,automatic A/C,Euro 4,5,150 HP (110 kW),red,103000,1984,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
469,4,posted 2 weeks ago,700,Alfa Romeo 147,2004,manual A/C,Euro 3,5,120 HP (88 kW),red,280560,1600,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
158,3,yesterday,550,Alfa Romeo 147,2003,manual A/C,Euro 3,5,105 HP (77 kW),black,280000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
388,14,posted 3 weeks ago,700,Alfa Romeo 147,2003,manual A/C,Euro 3,5,116 HP (85 kW),gray,314458,1910,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
36,0,posted 3 days ago,1300,Alfa Romeo 147,2003,manual A/C,Euro 3,5,116 HP (85 kW),black,300000,1910,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
113,0,posted a week ago,950,Alfa Romeo 147,2003,manual A/C,,5,116 HP (85 kW),teget,300000,1910,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
1408,0,updated 2 days ago,350,Alfa Romeo 147,2003,manual A/C,Euro 3,5,102 HP (75 kW),blue,255000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
120,2,posted 3 days ago,700,Alfa Romeo 147,2003,manual A/C,Euro 1,5,105 HP (77 kW),silver,210000,1600,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
147,4,posted 2 weeks ago,1450,Alfa Romeo 147,2003,manual A/C,Euro 3,5,116 HP (85 kW),blue,285000,1900,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
111,1,posted 2 weeks ago,1200,Alfa Romeo 147,2003,manual A/C,Euro 3,5,120 HP (88 kW),red,187399,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
84,1,yesterday,900,Alfa Romeo 147,2002,manual A/C,Euro 3,5,120 HP (88 kW),blue,240000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
90,0,posted 2 days ago,999,Alfa Romeo 147,2002,automatic A/C,Euro 4,5,105 HP (77 kW),blue,144000,1600,front,2/3 doors,petrol + gas,coupe,"manual, 5 speeds"
188,1,posted 6 days ago,400,Alfa Romeo 147,2002,manual A/C,Euro 3,5,105 HP (77 kW),gray,260000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
261,2,posted 3 days ago,500,Alfa Romeo 147,2002,manual A/C,,4,109 HP (80 kW),green,226000,1600,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
135,2,posted a week ago,1150,Alfa Romeo 147,2002,manual A/C,Euro 2,5,116 HP (85 kW),gray,286785,1900,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
68,0,posted 5 days ago,1300,Alfa Romeo 147,2002,no A/C,,5,680 HP (500 kW),gray,1,1600,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
154,0,posted a week ago,1150,Alfa Romeo 147,2002,automatic A/C,,5,116 HP (85 kW),black,365085,1900,front,2/3 doors,diesel,hatchback,"manual, 5 speeds"
125,1,posted 5 days ago,870,Alfa Romeo 147,2002,manual A/C,Euro 3,5,105 HP (77 kW),gray,236411,1598,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
97,0,posted 2 weeks ago,3000,Alfa Romeo 147,2002,manual A/C,Euro 5,5,116 HP (85 kW),black,100000,1910,front,2/3 doors,diesel,coupe,"manual, 6 speeds"
103,2,posted 2 weeks ago,1500,Alfa Romeo 147,2002,manual A/C,Euro 3,5,105 HP (77 kW),gray,200000,1595,front,2/3 doors,petrol,hatchback,"manual, 5 speeds"
241,6,posted a week ago,750,Alfa Romeo 147,2002,automatic A/C,,5,120 HP (88 kW),silver,328214,1598,front,2/3 doors,petrol + gas,hatchback,"manual, 5 speeds"
57,0,posted 4 days ago,300,Alfa Romeo 147,2001,manual A/C,Euro 3,5,105 HP (77 kW),gray,555555,1598,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
9,0,posted today,1050,Alfa Romeo 147,2001,manual A/C,Euro 3,5,120 HP (88 kW),gray,267000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
118,1,posted 5 days ago,650,Alfa Romeo 147,2001,automatic A/C,Euro 1,5,120 HP (88 kW),blue,248134,1600,front,2/3 doors,petrol,limousine,"manual, 5 speeds"
181,5,posted 5 days ago,450,Alfa Romeo 147,2001,manual A/C,Euro 3,5,120 HP (88 kW),gray,30000,1600,front,2/3 doors,petrol + gas,coupe,"manual, 5 speeds"
94,2,posted 2 weeks ago,1200,Alfa Romeo 147,2001,automatic A/C,Euro 3,5,105 HP (77 kW),red,250000,1600,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
